epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2224.67,1.33983,2.77082,1.28838,0.43057,0.44755,0.36521,0.2407,1.19181,1.8108,1.2139,0.000207605,0.000207605,0.000207605
2,5903.99,1.28337,1.83158,1.27057,0.56855,0.43888,0.47772,0.32636,1.16477,1.61287,1.19177,0.000333582,0.000333582,0.000333582
3,11549.6,1.24263,1.66601,1.24941,0.53813,0.5399,0.5213,0.34684,1.16955,1.50783,1.1994,0.00037706,0.00037706,0.00037706
4,19315,1.21646,1.55429,1.22482,0.59036,0.50445,0.56816,0.38292,1.12545,1.40572,1.15419,0.00025375,0.00025375,0.00025375
